,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
131,ASTRAZEN,AstraZeneca Pharma India Limited,True,False,False
132,ASTRON,Astron Paper & Board Mill Limited,True,False,False
133,ATFL,Agro Tech Foods Limited,True,False,False
134,ATLANTA,Atlanta  Limited,True,False,False
135,ATLASCYCLE,Atlas Cycles (Haryana) Limited,True,False,False
136,ATUL,Atul Limited,True,False,False
137,ATULAUTO,Atul Auto Limited,True,False,False
138,AUBANK,AU Small Finance Bank Limited,True,False,False
139,AURIONPRO,Aurionpro Solutions Limited,True,False,False
140,AUROPHARMA,Aurobindo Pharma Limited,True,False,False
141,AUSOMENT,Ausom Enterprise Limited,True,False,False
142,AUTOAXLES,Automotive Axles Limited,True,False,False
143,AUTOIND,Autoline Industries Limited,True,False,False
144,AUTOLITIND,Autolite (India) Limited,True,False,False
145,AVADHSUGAR,Avadh Sugar & Energy Limited,True,False,False
146,AVANTIFEED,Avanti Feeds Limited,True,False,False
147,AVTNPL,AVT Natural Products Limited,True,False,False
148,AXISBANK,Axis Bank Limited,True,False,False
149,AXISCADES,AXISCADES Engineering Technologies Limited,True,False,False
150,AYMSYNTEX,AYM Syntex Limited,True,False,False
151,BAFNAPHARM,Bafna Pharmaceuticals Limited,True,False,False
152,BAGFILMS,B.A.G Films and Media Limited,True,False,False
153,BAJAJ-AUTO,Bajaj Auto Limited,True,False,False
154,BAJAJCORP,Bajaj Corp Limited,True,False,False
155,BAJAJELEC,Bajaj Electricals Limited,True,False,False
156,BAJAJFINSV,Bajaj Finserv Limited,True,False,False
157,BAJAJHIND,Bajaj Hindusthan Sugar Limited,True,False,False
158,BAJAJHLDNG,Bajaj Holdings & Investment Limited,True,False,False
159,BAJFINANCE,Bajaj Finance Limited,True,False,False
160,BALAJITELE,Balaji Telefilms Limited,True,False,False
161,BALAMINES,Balaji Amines Limited,True,False,False
162,BALAXI,Balaxi Ventures Limited,True,False,False
163,BALKRISHNA,Balkrishna Paper Mills Limited,True,False,False
164,BALKRISIND,Balkrishna Industries Limited,True,False,False
165,BALLARPUR,Ballarpur Industries Limited,True,False,False
166,BALMLAWRIE,Balmer Lawrie & Company Limited,True,False,False
167,BALPHARMA,Bal Pharma Limited,True,False,False
168,BALRAMCHIN,Balrampur Chini Mills Limited,True,False,False
169,BANARBEADS,Banaras Beads Limited,True,False,False
170,BANARISUG,Bannari Amman Sugars Limited,True,False,False
171,BANCOINDIA,Banco Products (I) Limited,True,False,False
172,BANDHANBNK,Bandhan Bank Limited,True,False,False
173,BANG,Bang Overseas Limited,True,False,False
174,BANKBARODA,Bank of Baroda,True,False,False
175,BANKINDIA,Bank of India,True,False,False
176,BANSWRAS,Banswara Syntex Limited,True,False,False
177,BARTRONICS,Bartronics India Limited,True,False,False
178,BASF,BASF India Limited,True,False,False
179,BASML,Bannari Amman Spinning Mills Limited,True,False,False
180,BATAINDIA,Bata India Limited,True,False,False
181,BAYERCROP,Bayer Cropscience Limited,True,False,False
182,BBL,Bharat Bijlee Limited,True,False,False
183,BBTC,Bombay Burmah Trading Corporation Limited,True,False,False
184,BDL,Bharat Dynamics Limited,True,False,False
185,BEARDSELL,Beardsell Limited,True,False,False
186,BEDMUTHA,Bedmutha Industries Limited,True,False,False
187,BEL,Bharat Electronics Limited,True,False,False
188,BEML,BEML Limited,True,False,False
189,BEPL,Bhansali Engineering Polymers Limited,True,False,False
190,BERGEPAINT,Berger Paints (I) Limited,True,False,False
191,BFINVEST,BF Investment Limited,True,False,False
192,BFUTILITIE,BF Utilities Limited,True,False,False
193,BGLOBAL,Bharatiya Global Infomedia Limited,True,False,False
194,BGRENERGY,BGR Energy Systems Limited,True,False,False
195,BHAGERIA,Bhageria Industries Limited,True,False,False
196,BHAGYANGR,Bhagyanagar India Limited,True,False,False
197,BHAGYAPROP,Bhagyanagar Properties Limited,True,False,False
198,BHANDARI,Bhandari Hosiery Exports Limited,True,False,False
199,BHARATFIN,Bharat Financial Inclusion Limited,True,False,False
200,BHARATFORG,Bharat Forge Limited,True,False,False
201,BHARATGEAR,Bharat Gears Limited,True,False,False
202,BHARATIDIL,Bharati Defence and Infrastructure Limited,True,False,False
203,BHARATRAS,Bharat Rasayan Limited,True,False,False
204,BHARATWIRE,Bharat Wire Ropes Limited,True,False,False
205,BHARTIARTL,Bharti Airtel Limited,True,False,False
206,BHEL,Bharat Heavy Electricals Limited,True,False,False
207,BHUSANSTL,Bhushan Steel Limited,True,False,False
208,BIGBLOC,Bigbloc Construction Limited,True,False,False
209,BIL,Bhartiya International Limited,True,False,False
210,BILENERGY,Bil Energy Systems Limited,True,False,False
211,BILPOWER,Bilpower  Limited,True,False,False
212,BINANIIND,Binani Industries Limited,True,False,False
213,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,True,False,False
214,BIOCON,Biocon Limited,True,False,False
215,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,True,False,False
216,BIRLACABLE,Birla Cable Limited,True,False,False
217,BIRLACORPN,Birla Corporation Limited,True,False,False
218,BIRLAMONEY,Aditya Birla Money Limited,True,False,False
219,BKMINDST,Bkm Industries Limited,True,False,False
220,BLBLIMITED,BLB Limited,True,False,False
221,BLISSGVS,Bliss GVS Pharma Limited,True,False,False
222,BLKASHYAP,B. L. Kashyap and Sons Limited,True,False,False
223,BLS,BLS International Services Limited,True,False,False
224,BLUEBLENDS,Blue Blends (I) Limited,True,False,False
225,BLUECHIP,Blue Chip India Limited,True,False,False
226,BLUECOAST,Blue Coast Hotels Limited,True,False,False
227,BLUEDART,Blue Dart Express Limited,True,False,False
228,BLUESTARCO,Blue Star Limited,True,False,False
229,BODALCHEM,Bodal Chemicals Limited,True,False,False
230,BOMDYEING,Bombay Dyeing & Mfg Company Limited,True,False,False
231,BOROSIL,Borosil Glass Works Limited,True,False,False
232,BOSCHLTD,Bosch Limited,True,False,False
233,BPCL,Bharat Petroleum Corporation Limited,True,False,False
234,BPL,BPL Limited,True,False,False
235,BRFL,Bombay Rayon Fashions Limited,True,False,False
236,BRIGADE,Brigade Enterprises Limited,True,False,False
237,BRITANNIA,Britannia Industries Limited,True,False,False
238,BRNL,Bharat Road Network Limited,True,False,False
239,BROOKS,Brooks Laboratories Limited,True,False,False
240,BSE,BSE Limited,True,False,False
241,BSELINFRA,BSEL Infrastructure Realty Limited,True,False,False
242,BSL,BSL Limited,True,False,False
243,BURNPUR,Burnpur Cement Limited,True,False,False
244,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,True,False,False
245,BVCL,Barak Valley Cements Limited,True,False,False
246,BYKE,The Byke Hospitality Ltd,True,False,False
247,CADILAHC,Cadila Healthcare Limited,True,False,False
248,CALSOFT,California Software Company Limited,True,False,False
249,CAMLINFINE,Camlin Fine Sciences Limited,True,False,False
250,CANBK,Canara Bank,True,False,False
251,CANDC,C & C Constructions Limited,True,False,False
252,CANFINHOME,Can Fin Homes Limited,True,False,False
253,CANTABIL,Cantabil Retail India Limited,True,False,False
254,CAPACITE,Capacit'e Infraprojects Limited,True,False,False
255,CAPF,Capital First Limited,True,False,False
256,CAPLIPOINT,Caplin Point Laboratories Limited,True,False,False
257,CAPTRUST,Capital Trust Limited,True,False,False
258,CARBORUNIV,Carborundum Universal Limited,True,False,False
259,CAREERP,Career Point Limited,True,False,False
260,CARERATING,CARE Ratings Limited,True,False,False
