,SYMBOL,NAME,INDFLAG,FO_FLAG
160,BALAJITELE,Balaji Telefilms Limited,0,0
161,BALAMINES,Balaji Amines Limited,0,0
162,BALAXI,Balaxi Ventures Limited,0,0
163,BALKRISHNA,Balkrishna Paper Mills Limited,0,0
164,BALKRISIND,Balkrishna Industries Limited,0,0
165,BALLARPUR,Ballarpur Industries Limited,0,0
166,BALMLAWRIE,Balmer Lawrie & Company Limited,0,0
167,BALPHARMA,Bal Pharma Limited,0,0
168,BALRAMCHIN,Balrampur Chini Mills Limited,0,0
169,BANARBEADS,Banaras Beads Limited,0,0
170,BANARISUG,Bannari Amman Sugars Limited,0,0
171,BANCOINDIA,Banco Products (I) Limited,0,0
172,BANDHANBNK,Bandhan Bank Limited,0,0
173,BANG,Bang Overseas Limited,0,0
174,BANKBARODA,Bank of Baroda,0,0
175,BANKINDIA,Bank of India,0,0
176,BANSWRAS,Banswara Syntex Limited,0,0
177,BARTRONICS,Bartronics India Limited,0,0
178,BASF,BASF India Limited,0,0
179,BASML,Bannari Amman Spinning Mills Limited,0,0
180,BATAINDIA,Bata India Limited,0,0
181,BAYERCROP,Bayer Cropscience Limited,0,0
182,BBL,Bharat Bijlee Limited,0,0
183,BBTC,Bombay Burmah Trading Corporation Limited,0,0
184,BDL,Bharat Dynamics Limited,0,0
185,BEARDSELL,Beardsell Limited,0,0
186,BEDMUTHA,Bedmutha Industries Limited,0,0
187,BEL,Bharat Electronics Limited,0,0
188,BEML,BEML Limited,0,0
189,BEPL,Bhansali Engineering Polymers Limited,0,0
190,BERGEPAINT,Berger Paints (I) Limited,0,0
191,BFINVEST,BF Investment Limited,0,0
192,BFUTILITIE,BF Utilities Limited,0,0
193,BGLOBAL,Bharatiya Global Infomedia Limited,0,0
194,BGRENERGY,BGR Energy Systems Limited,0,0
195,BHAGERIA,Bhageria Industries Limited,0,0
196,BHAGYANGR,Bhagyanagar India Limited,0,0
197,BHAGYAPROP,Bhagyanagar Properties Limited,0,0
198,BHANDARI,Bhandari Hosiery Exports Limited,0,0
199,BHARATFIN,Bharat Financial Inclusion Limited,0,0
200,BHARATFORG,Bharat Forge Limited,0,0
201,BHARATGEAR,Bharat Gears Limited,0,0
202,BHARATIDIL,Bharati Defence and Infrastructure Limited,0,0
203,BHARATRAS,Bharat Rasayan Limited,0,0
204,BHARATWIRE,Bharat Wire Ropes Limited,0,0
205,BHARTIARTL,Bharti Airtel Limited,0,0
206,BHEL,Bharat Heavy Electricals Limited,0,0
207,BHUSANSTL,Bhushan Steel Limited,0,0
