Date,Open,High,Low,Close,Volume,Turnover,Symbol
2016-10-27,2864.25,2870.5,2839.9,2864.65,280928367,21368200000.0,NIFTYINFRA
2016-10-28,2865.75,2883.5,2852.55,2869.75,136130979,13149600000.0,NIFTYINFRA
2016-10-30,2875.55,2882.95,2856.85,2862.8,11832428,1312200000.0,NIFTYINFRA
2016-11-01,2872.55,2890.7,2859.2,2867.3,77753425,10959300000.0,NIFTYINFRA
2016-11-02,2841.5,2851.15,2828.8,2834.75,93522032,12187300000.0,NIFTYINFRA
2016-11-03,2829.35,2849.8,2811.2,2814.0,84326666,13814300000.0,NIFTYINFRA
2016-11-04,2805.75,2811.05,2759.75,2774.4,119333829,29682900000.0,NIFTYINFRA
2016-11-07,2802.0,2804.6,2768.45,2774.4,87479382,12686500000.0,NIFTYINFRA
2016-11-08,2786.15,2788.0,2761.6,2779.3,93559799,14597100000.0,NIFTYINFRA
2016-11-09,2628.65,2765.4,2580.45,2745.6,187004519,23654400000.0,NIFTYINFRA
2016-11-10,2784.8,2826.65,2782.95,2816.85,96624615,14929600000.0,NIFTYINFRA
2016-11-11,2785.1,2790.05,2736.4,2741.75,87739390,14350900000.0,NIFTYINFRA
2016-11-15,2737.3,2744.2,2680.7,2700.45,95586411,14960900000.0,NIFTYINFRA
2016-11-16,2730.05,2731.25,2686.05,2711.25,81569625,13294400000.0,NIFTYINFRA
2016-11-17,2716.55,2728.05,2679.2,2702.75,78771912,13099900000.0,NIFTYINFRA
2016-11-18,2709.4,2729.95,2693.75,2718.2,94800318,14660200000.0,NIFTYINFRA
2016-11-21,2729.3,2729.95,2656.5,2661.3,102255048,14826500000.0,NIFTYINFRA
2016-11-22,2678.3,2681.05,2623.4,2653.3,112083952,16746900000.0,NIFTYINFRA
2016-11-23,2679.95,2695.0,2661.9,2680.3,106562020,20571500000.0,NIFTYINFRA
2016-11-24,2673.5,2687.45,2655.1,2671.3,121321058,18565500000.0,NIFTYINFRA
2016-11-25,2684.55,2711.15,2669.1,2707.05,82048418,12327100000.0,NIFTYINFRA
2016-11-28,2703.45,2756.8,2698.85,2748.0,103740543,12821000000.0,NIFTYINFRA
2016-11-29,2757.3,2774.45,2750.7,2759.25,117296253,14384300000.0,NIFTYINFRA
2016-11-30,2774.5,2795.45,2755.9,2791.95,123835470,17104400000.0,NIFTYINFRA
2016-12-01,2798.15,2798.15,2762.75,2767.4,121632597,16987000000.0,NIFTYINFRA
2016-12-02,2753.15,2757.35,2730.55,2737.8,91614340,11252200000.0,NIFTYINFRA
2016-12-05,2733.8,2756.55,2728.5,2748.45,101555621,11748000000.0,NIFTYINFRA
2016-12-06,2760.65,2778.2,2752.35,2759.25,110916171,13277100000.0,NIFTYINFRA
2016-12-07,2772.3,2777.3,2744.15,2752.4,126078757,13081700000.0,NIFTYINFRA
2016-12-08,2773.8,2789.65,2769.6,2782.9,118405207,13610100000.0,NIFTYINFRA
2016-12-09,2795.85,2797.6,2769.05,2780.0,77719689,10736400000.000002,NIFTYINFRA
2016-12-12,2775.9,2783.85,2763.3,2770.95,72742276,10051100000.0,NIFTYINFRA
2016-12-13,2774.95,2786.75,2766.65,2783.25,69523905,10257100000.0,NIFTYINFRA
2016-12-14,2787.7,2787.7,2754.95,2757.45,68216923,9917900000.0,NIFTYINFRA
2016-12-15,2742.4,2772.75,2737.75,2748.95,90722655,11856099999.999998,NIFTYINFRA
2016-12-16,2755.0,2756.45,2731.65,2736.05,82645448,14011800000.0,NIFTYINFRA
2016-12-19,2738.25,2739.0,2714.35,2717.75,66583117,10788300000.0,NIFTYINFRA
2016-12-20,2721.35,2723.95,2698.8,2706.35,69314644,10241500000.0,NIFTYINFRA
2016-12-21,2716.0,2719.45,2700.75,2704.75,106576433,11237600000.0,NIFTYINFRA
2016-12-22,2697.25,2703.1,2649.25,2654.0,87086444,10208900000.0,NIFTYINFRA
2016-12-23,2657.15,2679.3,2628.1,2669.5,80705582,10623100000.0,NIFTYINFRA
2016-12-26,2665.05,2666.6,2629.5,2637.55,73327897,10172600000.0,NIFTYINFRA
2016-12-27,2639.2,2677.45,2622.75,2673.45,73358882,9833900000.0,NIFTYINFRA
2016-12-28,2676.9,2704.25,2669.3,2675.75,83297129,12159100000.0,NIFTYINFRA
2016-12-29,2670.85,2692.65,2668.2,2688.5,136654193,17215300000.0,NIFTYINFRA
2016-12-30,2693.15,2714.9,2692.9,2712.25,92580286,11308699999.999998,NIFTYINFRA
2017-01-02,2718.35,2745.45,2709.6,2736.8,71982862,8557100000.0,NIFTYINFRA
2017-01-03,2744.25,2757.65,2734.4,2745.7,69641808,9397400000.0,NIFTYINFRA
2017-01-04,2749.2,2770.05,2746.8,2766.95,88079154,12164500000.0,NIFTYINFRA
2017-01-05,2771.15,2809.65,2767.25,2807.1,80342394,13040600000.0,NIFTYINFRA
2017-01-06,2810.35,2827.05,2792.45,2796.4,94800024,11957200000.0,NIFTYINFRA
2017-01-09,2801.5,2801.5,2779.0,2781.5,58567821,7817100000.0,NIFTYINFRA
2017-01-10,2788.2,2804.9,2785.65,2801.0,81722983,11443100000.0,NIFTYINFRA
2017-01-11,2815.25,2835.9,2810.7,2830.5,81793220,11754400000.0,NIFTYINFRA
2017-01-12,2838.35,2895.1,2837.6,2890.0,222834841,21295900000.0,NIFTYINFRA
2017-01-13,2906.55,2906.7,2858.15,2869.95,146031101,15638000000.0,NIFTYINFRA
2017-01-16,2866.2,2891.25,2862.1,2880.35,85030352,9742000000.0,NIFTYINFRA
